url_length,has_ip,digits,param_nums,fragments_num,url_depth,domain_length,subdomain_length,has_http,has_https,dom_ext,url_entropy,num_dots,num_hyphens,num_slash,num_questionmark,num_at,num_and,num_tilde,num_comma,num_plus,num_asterisk,num_colon,num_semicolon
18,0,0,0,0,1,17,0,0,0,com,3.3502090290998976,1,0,1,0,0,0,0,0,0,0,0,0
75,0,11,0,0,3,61,17,1,0,phishingbenign4:48973,3.774442690034342,4,0,3,0,0,0,0,0,0,0,2,0
71,0,11,0,0,4,12,0,0,0,com,4.506267585785519,1,0,3,1,0,0,0,0,0,0,0,0
48,0,14,0,0,3,34,10,1,0,233:57652,3.925613740476478,4,0,3,0,0,0,0,0,0,0,2,0
92,0,14,0,0,4,10,0,0,0,com,4.632394163455037,1,5,3,0,0,0,0,0,0,0,0,0
63,0,13,0,0,3,49,17,1,0,phishing49:5973phishing,3.817164012555601,4,0,3,0,0,0,0,0,0,0,2,0
45,0,0,0,0,3,26,20,0,0,uk,4.0942119187834285,3,0,2,0,0,0,0,0,0,0,0,0
60,0,11,0,0,3,51,17,1,0,88:525benign5,3.8325325221938855,3,0,3,0,0,0,0,0,0,0,2,0
24,0,0,0,0,1,23,0,0,0,org,3.438721875540867,1,0,1,0,0,0,0,0,0,0,0,0
59,0,10,0,0,3,50,17,1,0,32:423phishing4,3.8281282712763938,3,0,3,0,0,0,0,0,0,0,2,0
84,0,3,0,0,6,15,0,0,0,com,4.471436794788784,2,1,5,0,0,0,0,0,0,0,0,0
42,0,13,0,0,3,33,17,1,0,39:53453,3.9284140071748546,3,0,3,0,0,0,0,0,0,0,2,0
15,0,0,0,0,1,14,0,0,0,com,3.6402239289418516,1,0,1,0,0,0,0,0,0,0,0,0
62,0,10,0,0,3,48,17,1,0,92:4benign8benign8,3.854550092568724,4,0,3,0,0,0,0,0,0,0,2,0
31,0,2,0,0,2,11,0,0,0,com,4.542748326446119,1,0,1,1,0,0,0,0,0,0,0,0
59,0,13,0,0,3,45,10,1,0,252:49benign98,3.974385737091488,4,0,3,0,0,0,0,0,0,0,2,0
87,0,1,0,0,3,15,6,0,0,org,4.231255030765362,2,9,2,0,0,0,0,0,0,0,0,0
27,0,14,0,0,3,18,2,1,0,233:35528,3.5319412055466586,3,0,3,0,0,0,0,0,0,0,2,0
56,0,3,0,0,6,10,0,0,0,com,4.459427360354677,1,1,5,0,0,0,0,0,0,0,0,0
55,0,12,0,0,3,46,15,1,0,9phishing:36723,3.9580747146611333,3,0,3,0,0,0,0,0,0,0,2,0
139,0,8,0,0,9,14,5,0,0,ca,4.432056714395653,3,0,8,1,0,0,0,0,0,0,0,0
83,0,8,0,0,3,74,17,1,0,phishingphishing3:5phishingbenign8phishing,3.5281244505536877,3,0,3,0,0,0,0,0,0,0,2,0
53,0,0,0,0,3,16,2,0,0,org,4.340943567689105,3,0,2,0,0,0,0,0,0,0,0,0
65,0,12,0,0,3,56,17,1,0,phishing79:43666,3.7228948584698127,3,0,3,0,0,0,0,0,0,0,2,0
62,0,6,0,0,2,24,2,0,0,org,4.496073278227067,2,1,1,0,0,0,0,0,0,0,0,0
53,0,10,0,0,3,44,2,1,0,phishingphishing:5benign685,3.798096399138785,3,0,3,0,0,0,0,0,0,0,2,0
18,0,0,0,0,1,17,0,0,0,com,3.5724312513221195,1,0,1,0,0,0,0,0,0,0,0,0
54,0,3,0,0,3,31,9,0,1,shop,4.22656666858975,3,0,3,0,0,0,0,0,0,0,1,0
71,0,0,0,0,4,17,0,0,0,com,4.1351617330306345,2,4,3,0,0,0,0,0,0,0,0,0
50,0,13,0,0,3,41,10,1,0,phishing55:42659,3.8472103113389786,3,0,3,0,0,0,0,0,0,0,2,0
31,0,0,0,0,2,21,4,0,0,com,3.9779168746936353,2,0,2,0,0,0,0,0,0,0,0,0
47,0,13,0,0,3,33,17,1,0,39:53453,3.9771640540730067,4,0,3,0,0,0,0,0,0,0,2,0
48,0,3,0,0,3,15,0,0,0,com,4.179047012067739,2,0,2,0,0,0,0,0,0,0,0,0
28,0,15,0,0,3,19,2,1,0,25:55659,3.4816615121017565,3,0,3,0,0,0,0,0,0,0,2,0
120,0,10,2,0,4,10,0,0,0,com,4.649210560888061,2,2,3,1,0,2,0,0,0,0,0,0
48,0,13,0,0,3,39,17,1,0,253:56593,3.9830072301048838,3,0,3,0,0,0,0,0,0,0,2,0
45,0,1,0,0,3,21,0,0,0,com,4.3580853183595885,2,0,2,0,0,0,0,0,0,0,0,0
58,0,9,0,0,3,49,17,1,0,3benign:5462phishing,3.794074151977323,3,0,3,0,0,0,0,0,0,0,2,0
211,0,6,0,0,5,21,0,0,0,com,4.348130864581998,1,18,5,0,0,0,0,0,0,0,0,0
62,0,12,0,0,3,48,2,1,0,246:phishingphishing625,3.7269817557176523,4,0,3,0,0,0,0,0,0,0,2,0
144,0,13,0,0,3,10,0,0,0,com,4.461212546258554,1,13,2,0,0,0,0,0,0,0,0,0
39,0,13,0,0,3,25,10,1,0,88:44355,4.079772731460867,4,0,3,0,0,0,0,0,0,0,2,0
122,0,9,3,0,4,12,0,1,0,com,4.608111672453251,1,2,4,1,0,3,0,0,0,0,1,0
55,0,13,0,0,3,41,17,1,0,phishing94:47227,3.8645247687024673,4,0,3,0,0,0,0,0,0,0,2,0
58,0,0,0,0,5,15,3,0,0,edu,4.474552875170201,3,1,4,0,0,0,0,0,0,0,0,0
60,0,12,0,0,3,46,15,1,0,9phishing:36723,3.9565647621309536,4,0,3,0,0,0,0,0,0,0,2,0
28,0,0,0,0,2,15,0,0,0,com,3.892724905113432,2,0,1,0,0,0,0,0,0,0,0,0
58,0,13,0,0,3,49,17,1,0,237:5437phishing,3.6909492622128774,3,0,3,0,0,0,0,0,0,0,2,0
47,0,3,0,0,3,7,0,0,0,com,4.109564448254368,2,0,2,1,0,0,0,0,0,0,0,0
56,0,13,0,0,3,47,3,1,0,245:499phishing7,3.894222280811761,3,0,3,0,0,0,0,0,0,0,2,0
36,0,4,0,0,2,15,0,0,0,com,4.014101654930178,1,0,1,0,0,0,0,0,0,0,0,0
58,0,10,0,0,3,44,2,1,0,phishingphishing:5benign685,3.805919788081816,4,0,3,0,0,0,0,0,0,0,2,0
31,0,0,0,0,2,22,8,0,0,com,3.861476859389222,2,0,2,0,0,0,0,0,0,0,0,0
32,0,14,0,0,3,18,2,1,0,233:35528,3.8042292966721747,4,0,3,0,0,0,0,0,0,0,2,0
94,0,7,2,0,3,16,4,0,0,ca,4.517459737120104,3,0,2,1,0,2,0,0,0,0,0,0
70,0,12,0,0,3,56,17,1,0,phishing79:43666,3.7653269339796487,4,0,3,0,0,0,0,0,0,0,2,0
35,0,0,0,0,3,16,2,0,0,org,4.014438730983426,2,0,2,0,0,0,0,0,0,0,0,0
55,0,13,0,0,3,41,10,1,0,phishing55:42659,3.8919752233265923,4,0,3,0,0,0,0,0,0,0,2,0
32,0,4,0,0,2,13,0,0,0,com,4.375,2,0,1,1,0,0,0,0,0,0,0,0
66,0,10,0,0,3,52,17,1,0,phishing2:52benignphishing6,3.752219941296922,4,0,3,0,0,0,0,0,0,0,2,0
23,0,0,0,0,2,11,0,0,0,com,3.882045108136863,1,1,1,0,0,0,0,0,0,0,0,0
45,0,11,0,0,3,31,2,1,0,8phishing:384phishing7,3.9608785854500947,4,0,3,0,0,0,0,0,0,0,2,0
515,0,64,8,0,5,6,0,1,0,in,4.39994350221876,1,0,5,1,0,8,0,0,0,0,1,0
68,0,11,0,0,3,59,17,1,0,phishing93:5245benign,3.8049295574109014,3,0,3,0,0,0,0,0,0,0,2,0
76,0,7,0,0,7,12,0,0,0,com,4.393299758173178,1,3,6,0,0,0,0,0,0,0,0,0
53,0,13,0,0,3,39,17,1,0,253:56593,3.984455775432859,4,0,3,0,0,0,0,0,0,0,2,0
30,0,2,0,0,3,12,0,0,0,si,4.215061012203069,2,0,2,0,0,0,0,0,0,0,0,0
77,0,11,0,0,3,63,17,1,0,phishing36:55526,3.764748818025513,4,0,3,0,0,0,0,0,0,0,2,0
266,0,53,0,0,6,7,0,1,0,com,4.355130434905323,1,2,6,0,0,0,0,0,0,0,1,0
75,0,11,0,0,3,61,17,1,0,phishing68:36258,3.9873672204515955,4,0,3,0,0,0,0,0,0,0,2,0
49,0,1,0,0,5,14,4,0,0,uk,4.214114119970501,4,0,4,1,0,0,0,0,0,0,0,0
85,0,9,0,0,3,71,22,1,0,phishing82:429benign4,3.8735152890054128,4,0,3,0,0,0,0,0,0,0,2,0
24,0,0,0,0,2,10,0,0,0,com,3.6531071683628116,1,0,1,0,0,0,0,0,0,0,0,0
69,0,11,0,0,3,55,2,1,0,phishing38:5phishing8phishing3,3.866338159036889,4,0,3,0,0,0,0,0,0,0,2,0
47,0,6,0,0,6,12,0,0,0,com,4.347587661184007,1,1,5,0,0,0,0,0,0,0,0,0
44,0,12,0,0,3,30,2,1,0,phishing78:5887benign,4.2544418457133455,4,0,3,0,0,0,0,0,0,0,2,0
70,0,5,0,0,5,26,6,0,0,uk,4.648586724205759,5,1,4,0,0,0,0,0,0,0,0,0
63,0,9,0,0,3,49,17,1,0,3benign:5462phishing,3.7923792807738113,4,0,3,0,0,0,0,0,0,0,2,0
122,0,13,0,0,7,10,0,1,0,pl,5.130704653383003,2,3,7,0,0,0,0,0,0,0,1,0
33,0,15,0,0,3,19,2,1,0,25:55659,3.7606205443099605,4,0,3,0,0,0,0,0,0,0,2,0
28,0,0,0,0,3,8,0,0,0,org,3.7264741182543757,2,0,2,0,0,0,0,0,0,0,0,0
49,0,14,0,0,3,40,17,1,0,237:46553,4.045447538205389,3,0,3,0,0,0,0,0,0,0,2,0
35,0,0,0,0,3,16,2,0,0,org,3.9963834611048727,2,0,2,0,0,0,0,0,0,0,0,0
54,0,11,0,0,3,45,2,1,0,phishingphishing9:45benign98,3.823763892209878,3,0,3,0,0,0,0,0,0,0,2,0
51,0,0,0,0,3,11,0,0,0,com,4.481153038007507,2,4,2,0,0,0,0,0,0,0,0,0
84,0,7,0,0,3,75,15,1,0,phishingphishing:4benign559,3.607539582647287,3,0,3,0,0,0,0,0,0,0,2,0
68,0,2,0,0,3,16,0,0,0,com,4.6295889014008225,2,3,2,0,0,0,0,0,0,0,0,0
60,0,9,0,0,3,51,9,1,0,phishingphishing3:5benign749,3.761185188582761,3,0,3,0,0,0,0,0,0,0,2,0
38,0,0,0,0,3,10,0,0,0,com,4.1684656711105905,1,2,2,0,0,0,0,0,0,0,0,0
55,0,12,0,0,3,46,17,1,0,3benign:57556,3.9580747146611333,3,0,3,0,0,0,0,0,0,0,2,0
29,0,0,0,0,2,18,0,0,0,com,4.1162646156680225,2,0,1,0,0,0,0,0,0,0,0,0
61,0,13,0,0,3,47,3,1,0,245:499phishing7,3.9000110591870314,4,0,3,0,0,0,0,0,0,0,2,0
100,0,15,0,0,3,11,0,1,0,com,4.640987507269346,1,0,3,1,0,0,0,0,0,0,1,0
39,0,12,0,0,3,30,2,1,0,phishingbenign6:39828,4.162980744225907,3,0,3,0,0,0,0,0,0,0,2,0
51,0,5,0,0,3,16,4,0,0,gov,4.041498442172797,3,0,2,0,0,0,0,0,0,0,0,0
58,0,13,0,0,3,49,10,1,0,phishing76:53424,3.759914779454257,3,0,3,0,0,0,0,0,0,0,2,0
106,0,0,0,0,8,29,15,0,0,com,4.692349989859591,3,4,7,0,0,0,0,0,0,0,0,0
54,0,14,0,0,3,40,17,1,0,237:46553,4.0437092059799875,4,0,3,0,0,0,0,0,0,0,2,0
31,0,3,0,0,2,11,0,0,0,com,4.478232197413861,1,0,1,1,0,0,0,0,0,0,0,0
47,0,12,0,0,3,38,2,1,0,22benign:4phishing949,3.902487990151157,3,0,3,0,0,0,0,0,0,0,2,0
70,0,0,0,0,3,19,0,0,0,com,4.09043677644152,2,5,2,0,0,0,0,0,0,0,0,0
61,0,11,0,0,3,47,17,1,0,phishing85:42phishing93,3.7981586098662996,4,0,3,0,0,0,0,0,0,0,2,0
91,0,4,1,0,3,21,0,0,0,com,4.601485581545901,3,0,2,1,0,1,0,0,0,0,0,0
59,0,11,0,0,3,45,2,1,0,phishingphishing9:45benign98,3.831464235655843,4,0,3,0,0,0,0,0,0,0,2,0
147,0,3,0,0,5,13,6,1,0,ua,4.339855068843289,2,0,5,0,0,0,0,0,0,0,1,0
80,0,9,0,0,3,71,22,1,0,phishing82:429benign4,3.6681241260322612,3,0,3,0,0,0,0,0,0,0,2,0
61,0,7,0,0,4,12,0,0,0,com,4.3938749447456,1,1,3,0,0,0,0,0,0,0,0,0
54,0,14,0,0,3,40,3,1,0,phishing6benign:37622,3.8649780123799276,4,0,3,0,0,0,0,0,0,0,2,0
56,0,5,0,0,3,8,0,0,0,ca,4.378085278891396,2,1,2,1,0,0,0,0,0,0,0,0
89,0,7,0,0,3,75,15,1,0,phishingphishing:4benign559,3.6123707247886117,4,0,3,0,0,0,0,0,0,0,2,0
323,0,85,0,0,8,13,0,1,0,net,4.095624079288143,1,6,8,0,0,0,0,0,0,0,1,0
63,0,13,0,0,3,49,17,1,0,237:5437phishing,3.7416896077593558,4,0,3,0,0,0,0,0,0,0,2,0
28,0,0,0,0,2,10,0,0,0,com,3.753434386188785,1,0,1,0,0,0,0,0,0,0,0,0
65,0,9,0,0,3,51,9,1,0,phishingphishing3:5benign749,3.769617924108642,4,0,3,0,0,0,0,0,0,0,2,0
56,0,0,0,0,3,17,0,0,0,com,4.155045546825804,2,2,2,0,0,0,0,0,0,0,0,0
60,0,12,0,0,3,46,17,1,0,3benign:57556,3.9565647621309536,4,0,3,0,0,0,0,0,0,0,2,0
42,0,3,0,0,2,23,4,0,0,de,4.064354624902157,3,1,2,0,0,0,0,0,0,0,0,0
85,0,9,0,0,3,71,22,1,0,phishing82:429benign4,3.6726111544758364,4,0,3,0,0,0,0,0,0,0,2,0
31,0,0,0,0,3,16,2,0,0,org,3.8488846166291197,2,0,2,0,0,0,0,0,0,0,0,0
44,0,10,0,0,3,30,9,1,0,8:42462,3.83105115291583,4,0,3,0,0,0,0,0,0,0,2,0
106,0,5,0,0,6,19,0,0,0,com,4.14144199546611,1,4,6,0,0,0,0,0,0,0,0,0
52,0,12,0,0,3,38,2,1,0,22benign:4phishing949,3.908929804755102,4,0,3,0,0,0,0,0,0,0,2,0
48,0,2,0,0,3,12,0,0,0,com,4.306127542695028,1,2,2,0,0,0,0,0,0,0,0,0
44,0,12,0,0,3,30,2,1,0,phishingbenign6:39828,4.152391277629866,4,0,3,0,0,0,0,0,0,0,2,0
17,0,0,0,0,3,9,0,0,0,com,3.3371753411230776,1,0,2,0,0,0,0,0,0,0,0,0
80,0,9,0,0,3,71,17,1,0,2phishingbenign:46benign2phishing,3.627560219809304,3,0,3,0,0,0,0,0,0,0,2,0
45,0,0,0,0,3,22,0,0,0,net,3.892071298950995,1,1,2,0,0,0,0,0,0,0,0,0
74,0,9,0,0,3,65,17,1,0,2benignphishing:3357phishing,3.672637803554859,3,0,3,0,0,0,0,0,0,0,2,0
49,0,5,0,0,5,15,0,0,0,com,4.305751364780154,1,0,4,0,0,0,0,0,0,0,0,0
63,0,12,0,0,3,54,17,1,0,232:34747,3.826530527885489,3,0,3,0,0,0,0,0,0,0,2,0
28,0,0,0,0,2,16,0,0,0,com,4.137537511266052,1,0,2,0,0,0,0,0,0,0,0,0
39,0,12,0,0,3,30,2,1,0,34:49benign84,4.041060551862741,3,0,3,0,0,0,0,0,0,0,2,0
80,0,8,0,0,4,21,0,0,0,com,4.427890051478965,2,0,3,0,0,0,0,0,0,0,0,0
71,0,9,0,0,3,57,17,1,0,phishingbenign5:33423,3.772337651525025,4,0,3,0,0,0,0,0,0,0,2,0
35,0,0,0,0,1,34,21,0,0,com,4.014438730983427,2,0,1,0,0,0,0,0,0,0,0,0
73,0,11,0,0,3,59,17,1,0,phishing42:54999,3.8501523365984327,4,0,3,0,0,0,0,0,0,0,2,0
34,0,0,0,0,3,15,0,0,0,com,4.124083797069061,1,0,3,0,0,0,0,0,0,0,0,0
55,0,12,0,0,3,46,17,1,0,37:5benign896,3.9944383510247694,3,0,3,0,0,0,0,0,0,0,2,0
59,0,0,0,0,4,26,0,0,0,com,4.325180076278269,2,2,3,0,0,0,0,0,0,0,0,0
82,0,10,0,0,3,68,17,1,0,24benign:49284,3.571524636686331,4,0,3,0,0,0,0,0,0,0,2,0
62,0,0,0,0,4,13,0,0,0,com,4.177503118154275,1,0,3,0,0,0,0,0,0,0,0,0
53,0,12,0,0,3,44,17,1,0,2benign2:44626,3.868574465054061,3,0,3,0,0,0,0,0,0,0,2,0
74,0,5,0,0,4,12,0,0,0,com,4.261413123488123,1,1,3,0,0,0,0,0,0,0,0,0
48,0,11,0,0,3,39,17,1,0,32:58phishing57,3.7708498669789936,3,0,3,0,0,0,0,0,0,0,2,0
41,0,0,0,0,3,16,2,0,0,org,4.141105590449127,2,0,2,0,0,0,0,0,0,0,0,0
79,0,9,0,0,3,65,17,1,0,2benignphishing:3357phishing,3.679980187887112,4,0,3,0,0,0,0,0,0,0,2,0
98,0,2,2,0,6,6,0,1,0,in,4.733567345176613,1,1,6,1,0,2,0,0,0,0,1,0
50,0,13,0,0,3,41,17,1,0,phishing96:52887,3.887210311338978,3,0,3,0,0,0,0,0,0,0,2,0
49,0,2,0,0,2,28,0,0,0,org,3.8538797433500265,2,0,1,1,0,0,0,0,0,0,0,0
68,0,12,0,0,3,54,17,1,0,232:34747,3.8347623959275254,4,0,3,0,0,0,0,0,0,0,2,0
15,0,2,0,0,2,8,0,0,0,com,3.640223928941852,1,0,1,0,0,0,0,0,0,0,0,0
44,0,12,0,0,3,30,2,1,0,34:49benign84,4.044325652580697,4,0,3,0,0,0,0,0,0,0,2,0
81,0,9,0,0,4,12,0,0,0,com,4.225204358165751,1,2,3,0,0,0,0,0,0,0,0,0
38,0,11,0,0,3,29,2,1,0,3benign:44phishing33,4.043337052632604,3,0,3,0,0,0,0,0,0,0,2,0
84,0,1,0,0,3,16,0,0,0,com,4.609405299054261,1,0,2,1,0,0,0,0,0,0,0,0
59,0,11,0,0,3,45,10,1,0,43:47972,3.8653625407405885,4,0,3,0,0,0,0,0,0,0,2,0
37,0,0,0,0,2,20,6,0,0,com,4.283381405994075,2,0,2,0,0,0,0,0,0,0,0,0
65,0,10,0,0,3,56,17,1,0,238:6benignphishingbenign5,3.888763152545348,3,0,3,0,0,0,0,0,0,0,2,0
25,0,0,0,0,1,24,0,0,0,com,3.7532696895151068,1,0,1,0,0,0,0,0,0,0,0,0
39,0,12,0,0,3,30,9,1,0,2benign2:44557,4.079772731460867,3,0,3,0,0,0,0,0,0,0,2,0
131,0,8,0,0,2,15,0,0,0,com,4.7695799894605635,2,5,1,0,0,0,0,0,0,0,0,0
58,0,12,0,0,3,44,17,1,0,2benign2:44626,3.8693246343324996,4,0,3,0,0,0,0,0,0,0,2,0
33,0,0,0,0,4,9,0,0,0,com,4.020926316000352,1,1,3,0,0,0,0,0,0,0,0,0
60,0,12,0,0,3,46,17,1,0,37:5benign896,3.989898095464287,4,0,3,0,0,0,0,0,0,0,2,0
146,0,10,0,0,7,10,0,0,0,com,4.272375448778406,2,9,6,0,0,0,0,0,0,0,0,0
66,0,9,0,0,3,57,10,1,0,9benign:42645,3.783602251160245,3,0,3,0,0,0,0,0,0,0,2,0
36,0,2,0,0,2,11,0,0,0,com,4.627986806877674,1,0,1,1,0,0,0,0,0,0,0,0
70,0,10,0,0,3,56,17,1,0,238:6benignphishingbenign5,3.8798814182820927,4,0,3,0,0,0,0,0,0,0,2,0
32,0,0,0,0,2,20,0,0,0,com,4.202819531114783,2,0,1,0,0,0,0,0,0,0,0,0
71,0,9,0,0,3,57,10,1,0,9benign:42645,3.7829698698653553,4,0,3,0,0,0,0,0,0,0,2,0
29,0,0,0,0,2,15,5,0,0,com,3.8143719431796272,2,1,2,0,0,0,0,0,0,0,0,0
62,0,11,0,0,3,53,17,1,0,95:5254benign,3.780933013265175,3,0,3,0,0,0,0,0,0,0,2,0
50,0,1,0,0,3,11,0,0,0,com,4.399079570624175,2,0,2,1,0,0,0,0,0,0,0,0
52,0,12,0,0,3,38,17,1,0,74:43986,4.038831487489014,4,0,3,0,0,0,0,0,0,0,2,0
106,0,4,0,0,5,18,9,0,0,com,4.225738142038273,2,6,5,0,0,0,0,0,0,0,0,0
56,0,11,0,0,3,47,9,1,0,39:59phishing55,3.6121236183631606,3,0,3,0,0,0,0,0,0,0,2,0
42,0,3,0,0,3,16,0,0,0,com,4.320423374953669,1,0,2,0,0,0,0,0,0,0,0,0
63,0,12,0,0,3,54,17,1,0,228:5benign989,3.850495210493853,3,0,3,0,0,0,0,0,0,0,2,0
32,0,0,0,0,2,19,0,0,0,org,3.9056390622295662,2,0,1,0,0,0,0,0,0,0,0,0
51,0,14,0,0,3,42,10,1,0,phishing48:54465,3.911007814093315,3,0,3,0,0,0,0,0,0,0,2,0
63,0,1,3,0,2,18,0,0,0,org,4.173331661726193,2,0,1,1,0,3,0,0,0,0,0,0
53,0,12,0,0,3,44,15,1,0,23phishing:57963,3.9817820122238725,3,0,3,0,0,0,0,0,0,0,2,0
30,0,2,0,0,2,6,0,0,0,com,4.2817276788697365,1,0,1,0,0,0,0,0,0,0,0,0
54,0,11,0,0,3,45,17,1,0,25:3469phishing,3.93487500332099,3,0,3,0,0,0,0,0,0,0,2,0
23,0,3,0,0,2,15,0,0,0,com,3.9690016298759936,2,0,1,0,0,0,0,0,0,0,0,0
52,0,10,0,0,3,38,2,1,0,73:4653phishing,3.8174368919700603,4,0,3,0,0,0,0,0,0,0,2,0
104,0,12,0,0,3,11,0,1,0,com,4.7468648723293985,1,0,3,1,0,0,0,0,0,0,1,0
61,0,11,0,0,3,47,9,1,0,39:59phishing55,3.6670110688826933,4,0,3,0,0,0,0,0,0,0,2,0
81,0,9,0,0,4,10,0,0,0,com,4.610774540559793,1,4,3,0,0,0,0,0,0,0,0,0
56,0,14,0,0,3,42,10,1,0,phishing48:54465,3.951709440613076,4,0,3,0,0,0,0,0,0,0,2,0
98,0,2,0,0,4,18,0,0,0,ca,4.291742240045525,1,8,4,0,0,0,0,0,0,0,0,0
61,0,10,0,0,3,52,9,1,0,222:56benign6phishing,3.742258453567659,3,0,3,0,0,0,0,0,0,0,2,0
39,0,0,0,0,2,23,0,0,0,com,3.7920988609769277,2,0,1,0,0,0,0,0,0,0,0,0
77,0,11,0,0,3,63,17,1,0,223:34phishing6phishing,3.6514269482727677,4,0,3,0,0,0,0,0,0,0,2,0
45,0,0,0,0,4,18,0,0,0,com,4.402529762804033,1,0,3,0,0,0,0,0,0,0,0,0
59,0,11,0,0,3,45,17,1,0,25:3469phishing,3.93315915091008,4,0,3,0,0,0,0,0,0,0,2,0
346,0,30,9,0,2,16,0,0,0,com,4.788358649014655,18,0,1,1,0,9,0,0,0,0,0,0
68,0,12,0,0,3,54,17,1,0,228:5benign989,3.8569649695205688,4,0,3,0,0,0,0,0,0,0,2,0
126,0,5,0,0,6,17,0,1,0,com,4.458996794162351,1,8,7,0,0,0,0,0,0,0,1,0
59,0,10,0,0,3,50,17,1,0,92:524benign8,3.908719584872384,3,0,3,0,0,0,0,0,0,0,2,0
81,0,8,2,0,3,24,2,0,0,com,4.816908688856335,4,1,2,1,0,2,0,0,0,0,0,0
67,0,9,0,0,3,53,17,1,0,228:6benign42benign,4.030599691279487,4,0,3,0,0,0,0,0,0,0,2,0
18,0,0,0,0,1,17,0,0,0,com,3.4613201402110083,1,0,1,0,0,0,0,0,0,0,0,0
53,0,11,0,0,3,39,17,1,0,47:5295phishing,4.0472146730608625,4,0,3,0,0,0,0,0,0,0,2,0
35,0,0,0,0,2,14,0,0,0,com,3.857016588002657,1,2,2,0,0,0,0,0,0,0,0,0
47,0,12,0,0,3,38,17,1,0,52:42628,3.9771640540730067,3,0,3,0,0,0,0,0,0,0,2,0
32,0,0,0,0,2,15,0,0,0,com,3.9917292966721747,2,0,1,0,0,0,0,0,0,0,0,0
57,0,12,0,0,3,48,10,1,0,phishing9:38357,3.7681910578655784,3,0,3,0,0,0,0,0,0,0,2,0
20,0,0,0,0,2,12,0,0,0,com,3.6464393446710153,1,0,1,0,0,0,0,0,0,0,0,0
75,0,10,0,0,3,66,17,1,0,25benign:5239benign,3.672494002582779,3,0,3,0,0,0,0,0,0,0,2,0
65,0,1,0,0,5,9,0,0,0,com,4.237259738228347,1,4,4,0,0,0,0,0,0,0,0,0
42,0,13,0,0,3,33,17,1,0,25:55488,3.8744934713060366,3,0,3,0,0,0,0,0,0,0,2,0
69,0,0,0,0,4,34,18,0,0,org,4.263361596239744,3,0,3,0,0,0,0,0,0,0,0,0
65,0,12,0,0,3,56,17,1,0,phishing86:59578,3.684583704690226,3,0,3,0,0,0,0,0,0,0,2,0
66,0,4,0,0,3,16,0,0,0,com,4.705929021970011,2,2,2,0,0,0,0,0,0,0,0,0
63,0,10,0,0,3,54,17,1,0,23:4phishingphishing57,3.6605185418811077,3,0,3,0,0,0,0,0,0,0,2,0
65,0,6,0,0,4,11,0,0,0,com,4.543704213975306,3,4,3,0,0,0,0,0,0,0,0,0
64,0,10,0,0,3,50,17,1,0,92:524benign8,3.8999433125951875,4,0,3,0,0,0,0,0,0,0,2,0
95,0,6,1,0,4,16,0,0,0,edu,4.500986203264362,2,0,3,1,0,1,0,0,0,0,0,0
74,0,10,0,0,3,60,17,1,0,phishingbenignphishing:5499phishing,3.6510302232985175,4,0,3,0,0,0,0,0,0,0,2,0
91,0,0,0,0,3,41,9,0,0,com,4.185462224724469,5,0,2,0,0,0,1,0,0,0,0,0
62,0,12,0,0,3,48,10,1,0,phishing9:38357,3.8115803443924356,4,0,3,0,0,0,0,0,0,0,2,0
